ID,Period,Rain,AccRain,Radn,MaxT,MeanT,MinT,ThermalTime,AccTT,AccEmTT,SoilTemp,PAWmm,NH4,NO3,Urea,OrganicC,NutrientStress,TempStress,WaterStress,Period_Start_Date,Period_End_Date,Period_Start_DOY,Duration,Period_End_DOY
2,8,4.416538483248307,4.416538483248307,21.193461564870983,29.56346159714919,24.349615317124588,19.135769037099983,16.364030704201795,16.364030704201795,1246.3824589374449,21.141463832883304,274.99574553745435,1.5268553879248112,92.12343226731655,4.924001292204969e-15,78908.30800121532,1,1,1,2026-07-17,2026-08-11,198,26,223
2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
2,10,1.9099999964237213,1.9099999964237213,19.894999663035076,29.016666730244953,23.524166742960613,18.03166675567627,15.540103819110659,15.540103819110659,1339.623081852109,21.188407867936597,256.07558679070684,1.3865697305323523,58.00169898360431,1.5897742533262998e-19,78865.44862695962,1,1,1,2026-08-12,2026-08-17,224,6,229
2,11,1.44419118162135,1.44419118162135,11.16095592695124,15.89955884262043,10.384191182825495,4.868823523030562,6.897392729202072,6.897392729202072,1355.7980820428438,12.982849589030423,235.53668457601674,0.8442190804093497,53.51115388207831,5.17147268556237e-22,79237.72737660591,0.3051470588235294,0.5520351875745574,1,2026-08-18,2026-12-31,230,136,365
3,1,1.3178985470339009,1.3178985470339009,13.975797062334808,9.24297098039339,3.7254709903272274,-1.7920289997389351,3.549607512475514,3.549607512475514,0,1.050089998441962,350.87599453123636,2.685616533612441,20.34746391119549,0.9642484328703639,79058.36130778403,0.3,0.35659678889280394,1,2026-01-01,2026-05-18,1,138,138
3,2,3.7587500140070915,3.7587500140070915,21.612499952316284,22.348750114440918,16.2168750166893,10.084999918937683,9.523568741962976,9.523568741962976,0,14.960561371728282,345.5892957634959,143.72212045727707,74.15350157138248,27.24792427158705,79142.52536255008,1,1,1,2026-05-19,2026-05-26,139,8,146
3,3,2.9945453933694144,2.9945453933694144,22.57454525340687,26.404545697298918,20.085000124844637,13.76545455239036,12.579879703689345,12.579879703689345,138.3786767405828,17.074531062709386,342.4237731400857,72.20089255678451,173.8049449093543,0.3813124299697117,79105.38933913106,1,1,1,2026-05-27,2026-06-06,147,11,157
3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
3,5,3.825000011920929,3.825000011920929,22.76499989827474,28.812999979654947,23.205333344141643,17.597666708628335,15.302697294207325,15.302697294207325,597.4595955668026,19.94616357056632,339.7167023924124,5.689491838984437,222.46687433381234,2.7426063145681004e-4,79019.28764829406,0.9999999999999999,1,1,2026-06-07,2026-07-06,158,30,187
3,6,2.6433333555857343,2.6433333555857343,23.613333384195965,28.19333330790202,22.513333320617676,16.833333333333332,14.560298108524748,14.560298108524748,641.1404898923768,20.362188990493138,316.8743866501839,1.8331664904782667,186.54541542949556,1.5980329607626615e-10,78961.8585384485,1,1,1,2026-07-07,2026-07-09,188,3,190
3,7,6.24090913073583,6.24090913073583,22.290909333662555,28.683636578646574,23.16090913252397,17.638181686401367,15.213993200046366,15.213993200046366,808.4944150928868,20.16985928948606,315.6874093585208,1.7813515118864298,157.53465796481814,1.3315821484400815e-11,78947.76498691802,1,1,1,2026-07-10,2026-07-20,191,11,201
3,8,3.3126922799990726,3.3126922799990726,20.303846029134895,29.758076961223896,24.19173079270583,18.625384624187763,16.210468723884606,16.210468723884606,1229.9666019138865,21.05021825174228,270.1039699621088,1.547719687172139,95.75187889093552,3.6935836416651494e-14,78899.42660261001,1,1,1,2026-07-21,2026-08-15,202,26,227
3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
3,10,1.729999969402949,1.729999969402949,21.97500006357829,30.744999885559082,24.735000133514404,18.725000381469727,16.738028060993443,16.738028060993443,1330.394770279847,21.010364357226436,232.11037359541385,1.4259566696260015,65.03296203407038,1.3938335887861374e-18,78857.87173109126,0.9999999999999998,1,1,2026-08-16,2026-08-21,228,6,233
3,11,1.4539393880122313,1.4539393880122313,11.185909130356528,15.627878772264177,10.048977272020597,4.470075771777016,6.599805455883641,6.599805455883641,1346.5664334266396,12.427700209019703,212.83314416470859,0.7490758909081758,57.98841755432246,4.7172278236268105e-21,79246.3654600322,0.3053030303030303,0.5389204527910605,1,2026-08-22,2026-12-31,234,132,365
4,1,1.4562936971367864,1.4562936971367864,14.33622382237361,10.056503503811317,4.509755240518834,-1.0369930227736492,3.8761206451172736,3.8761206451172736,0,1.9480443405098928,348.8433308150034,2.6273451385617497,20.5004048318674,0.9548962814690797,79058.35155162873,0.3,0.3945829181296455,1,2026-01-01,2026-05-23,1,143,143
4,2,1.9700000200952803,1.9700000200952803,20.915713991437638,23.772857121058873,17.724285670689174,11.675714220319476,10.628466209408217,10.628466209408217,0,15.620446658765779,344.44082916628054,141.98072218252085,75.05186977800611,28.91757683522371,79128.56077022123,1,1,1,2026-05-24,2026-05-30,144,7,150
4,3,3.3689999520778655,3.3689999520778655,22.48099994659424,27.09799995422363,21.179500007629393,15.261000061035157,13.419144790898429,13.419144790898429,134.19144790898432,17.73937603182932,345.08361530153707,73.97203706504713,172.8011309126083,0.5174601626908145,79095.47648036177,0.9999999999999999,1,1,2026-05-31,2026-06-09,151,10,160
4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
4,5,4.111379287109293,4.111379287109293,23.266551839894262,29.679999713239997,24.03224122935328,18.38448274546656,16.053175044841876,16.053175044841876,599.7335242093988,20.667654262397928,340.936578835013,5.660574511449189,225.20719059422572,4.687068660135077e-4,79003.18947454658,0.9999999999999999,1,1,2026-06-10,2026-07-08,161,29,189
4,6,9.006666501363119,9.006666501363119,22.703333536783855,29.106666564941406,23.638333638509113,18.170000712076824,15.640348595386081,15.640348595386081,646.654569995557,20.576212108341196,323.82743737570337,1.798207449250825,191.6044656108855,1.5955915637332933e-10,78943.19130528424,0.9999999999999999,1,1,2026-07-09,2026-07-11,190,3,192
4,7,3.890000021457672,3.890000021457672,22.255999755859374,28.957999992370606,23.39800000190735,17.83800001144409,15.43166544239839,15.43166544239839,800.9712244195409,20.400329377558755,316.08092137067496,1.7120089130370273,165.7368396769436,1.434650815509474e-11,78929.54314983993,0.9999999999999999,1,1,2026-07-12,2026-07-21,193,10,202
4,8,3.579999990485333,3.579999990485333,20.77777781309905,29.97074070683232,24.490185101826984,19.00962949682165,16.500029655084493,16.500029655084493,1246.472025106822,21.381416228383845,274.2824478054771,1.4818024147579072,104.03878286744302,5.2832028010368265e-14,78877.82995949397,0.9999999999999999,1,1,2026-07-22,2026-08-17,203,27,229
4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
4,10,2.2849999864896136,2.2849999864896136,21.778333346048992,30.41166655222575,24.50583346684774,18.600000381469727,16.511463441289795,16.511463441289795,1345.5408057545608,21.49544292626095,234.95204778206866,1.356942692140187,71.10198396893078,1.2128269349145626e-18,78833.83452519789,1,1,1,2026-08-18,2026-08-23,230,6,235
4,11,1.5182307596533344,1.5182307596533344,11.070923071641188,15.57153846690288,9.969000003307771,4.366461539712663,6.523980415617586,6.523980415617586,1361.5508050297683,12.491885528113349,217.22114924954013,0.7236562215851514,62.077948922188824,4.2316573895358064e-21,79252.67757305445,0.30538461538461537,0.5280934084247757,1,2026-08-24,2026-12-31,236,130,365
